trader,win_rate,avg_trade_size,total_trade_volume,total_trade_number,frequency,net_gains_loss,avg_odds,profit_per_trade,win_rate_ignore_sales,avg_trade_size_ignore_sales,total_trade_volume_ignore_sales,total_trade_number_ignore_sales,frequency_ignore_sales,net_gains_loss_ignore_sales,avg_odds_ignore_sales,profit_per_trade_ignore_sales
0x448a3b5d9f52A736479825FB2Ef36b05A4633fAA,0.4658385093167702,3.8430367577639752,618.728918,161,9.470588235294118,-45.314566915499995,0.505639753177281,-0.28145693736335403,0.45,4.0374991625,322.999933,80,4.705882352941177,-104.06997491230031,0.5117499714079088,-1.300874686403754
0xcC500CbCC8B7cF5BD21975ebbEa34F21b5644C82,0.5723025314616508,149.74858534728514,58746819.277496,392303,617.8,-3395621.348964978,0.5024830295918021,-8.655608927193976,0.5583555523278936,150.21101973268387,43436069.943041,289167,455.38110236220473,-6554031.89502597,0.5361336701976573,-22.665213855751073
0x7fd0B1B313e6066a73fF3cB1e2fB46399Ff1B71a,0.4213263979193758,20.202696302990898,31071.746914,1538,3.440715883668904,489.7146665091303,0.5288574543237732,0.31841005624780905,0.4469964664310954,25.033046208480567,14168.704154000001,566,1.2662192393736018,-1336.4550306749406,0.4550348375226438,-2.3612279693903546
0xc7C791980E19d62A9Ec3987CaBb6Edf807b124C2,0.4871238818107888,7.929364495256166,29251.425623,3689,175.66666666666666,-785.1503131347981,0.5334836162914928,-0.21283554164673302,0.5213675213675214,7.426847714932126,14772.000105,1989,94.71428571428571,-2511.0355612525086,0.5222996167162908,-1.2624613178745645
0x26E23B2138A7a27089561C6bd960cEE33f5f1a63,0.28474422815753736,65.53069169186661,434271.893842,6627,34.696335078534034,-12900.752232197949,0.5601773149018064,-1.946695674090531,0.2498745609633718,33.830388503763174,67423.964288,1993,10.434554973821989,-33481.466395065974,0.259413972674556,-16.799531557985937
0x4B1a5B4CA150a90b4D557084D9434ECc596d3017,0.6200933587948229,6.340309219180988,59763.7547,9426,60.038216560509554,306.38026375556905,0.48694777332176287,0.03250374111559188,0.6011892556899734,9.145579233750256,44602.989923,4877,31.063694267515924,-4594.863234654192,0.6000424806809741,-0.9421495252520385
0x0f8bDc9a862Ca8E964c8560B554991C4998Bc4F6,0.5033986405437825,6.736637341763295,134786.639934,20008,488.0,-5289.539130403591,0.5042050659103249,-0.2643712080369648,0.5052427975160338,7.0656430328820115,69405.811512,9823,239.58536585365854,-18751.22274136697,0.4503082821449032,-1.9089099807968006
0xF02DDa9994b68fb985030aDd32Af87C0f3b116cA,0.43948191156766414,54.19336075792765,121338.934737,2239,20.925233644859812,-2943.428118905773,0.5623725002307722,-1.3146172929458566,0.5129716981132075,50.825303200471694,43099.857114,848,7.925233644859813,-9196.662859494762,0.5190899700587355,-10.84512129657401
0xCd2eAeB2f5A39803E7F7C990AbE22E1eFDDeF9B8,0.48586118251928023,7.868160416452442,3060.714402,389,194.5,-231.55466172020036,0.5168541609322858,-0.5952561997948596,0.5155555555555555,8.160488813333334,1836.109983,225,112.5,-359.39128135170057,0.49791112370708124,-1.5972945837853358
0xB2e0b8d062131D4655204c1b9006B54f44110082,0.6434870244394054,1.6103845238095238,6391.616175,3969,90.20454545454545,194.29181868021993,0.530078234236563,0.04895233526838497,0.6983861992209237,1.8489619426822483,3322.584611,1797,40.84090909090909,-333.2950299594859,0.6911055220273888,-0.1854730272451229
