trader,win_rate,avg_trade_size,total_trade_volume,total_trade_number,frequency,net_gains_loss,avg_odds
0x18d7b544543afCe04C17EE133bFcae703872e02B,0.7724550898203593,50.6131504730539,8452.396129,167,2.5303030303030303,193.84550169234868,0.6448842111406546
0xd9Fb2ecC4926efe32a4B0232e9c15bdd4dDF74F3,0.5326797385620915,23.768552901960785,14546.354376,612,10.551724137931034,-870.3655449313214,0.5629246109832473
0xCA15832b58674FC4e9D7E87bff859c4B94629b50,0.7898146534193249,8.306900895648132,285940.14263,34422,77.87782805429865,21836.206702466658,0.5437999445816335
0xC6AdF660e35CA4103559Aa9B100217C305eD5f3C,0.4983780978331387,31.292323938393668,1205849.702966,38535,1070.4166666666667,9253.80835156159,0.6036773315125229
0x34aD179cfa8f15E383F9D2695Ca565155c1a06bB,0.15172413793103448,3.103978779310345,450.076923,145,12.083333333333334,9.732774359270152,0.6960342633210126
0x476c1E85d5798B6d6E28DEA0B34306017EadcE52,0.5442006269592476,14.686610078996866,23425.143076,1595,39.875,439.51533019002073,0.4130588257013673
0xa8ae485700Ea62a13CC588a86ca0b5FDf39cae4D,0.4586436691493532,0.975246495491964,2487.85381,2551,46.38181818181818,-36.64062142435049,0.6979647756984119
0x25DcF4635fE93082E0849FbbF81c95680cf5E33B,0.4492229367631297,119.86187996342444,894649.072047,7464,49.43046357615894,-58947.911106284104,0.5009892006379797
0x68e47e70FE76355ED01d8721c488E862612600Bd,0.5853658536585366,110.03817912466124,40604.088097,369,30.75,61.61647950249107,0.5188175156067053
0xcE161dEa801b42651c6F286A2331DfE42642749F,0.42792976725193954,15.56235723029808,38112.212857,2449,244.9,-2136.211235816429,0.5392973259516374
0x684d4A39FA7C3D1C70125f5762d8e185b31204cF,0.46200607902735563,43.69902650455927,14376.97972,329,1.4557522123893805,15.720053080000046,0.4049665653495441
0x21557c53509DaaD09ccfdBcE96852997c179e073,0.5205479452054794,7.424165221135029,3793.748428,511,3.4066666666666667,169.69792352580686,0.4913269396583509
