primary_category,trader,win_rate,avg_trade_size,total_trade_volume,total_trade_number,frequency,net_gains_loss,avg_odds,profit_per_trade,win_rate_ignore_sales,avg_trade_size_ignore_sales,total_trade_volume_ignore_sales,total_trade_number_ignore_sales,frequency_ignore_sales,net_gains_loss_ignore_sales,avg_odds_ignore_sales,profit_per_trade_ignore_sales
Other/Misc,0xEc4E9362ad0d68c2a8B19d9F7EfF3De2710Ca44F,0.45806451612903226,56.67376713548387,8784.433906,155,2.421875,1838.934556,0.4543083581588067,11.864093909677418,0.5360824742268041,25.625026731958766,2485.627593,97,1.515625,1858.168243,0.3448295903682589,19.156373639175257
Crypto,0x53E7700D5f6bAcEE105dF696035d83D74D329a6F,0.3765028750653424,186.66340909997388,1428348.406433,7652,24.763754045307444,-178040.432593,0.4218488900987494,-23.267176240590697,0.36746143057503505,148.44930171248248,635066.112726,4278,13.844660194174757,-108599.721194,0.3585222122727056,-25.385629077606357
Politics,0xc038ef49e55817a37704159bA955B258357cF608,0.5531914893617021,12.564074468085105,1181.023,94,7.833333333333333,4.0690000000000035,0.5088617021276596,0.043287234042553226,0.5652173913043478,13.434282608695652,617.977,46,3.8333333333333335,0.023000000000005683,0.5611956521739131,0.0005000000000001235
Politics,0x083d788170D0B2108115633646deFa25ea4818B0,0.45871559633027525,43.324174587155966,4722.33503,109,0.5069767441860465,22.595763999999924,0.40815890174824093,0.2073005871559626,0.37037037037037035,24.691508962962963,1333.341484,54,0.25116279069767444,-76.02436000000006,0.3844317577903595,-1.4078585185185195
Sports,0x0783D30b9ebc5D83b73851bDCd84796a5A9e3CE2,0.4050632911392405,80.80025683544304,6383.22029,79,0.7383177570093458,-115.84911600000007,0.46132944407039506,-1.4664445063291147,0.36585365853658536,73.08591919512196,2996.522687,41,0.38317757009345793,-150.62268700000004,0.3773902436851933,-3.6737240731707326
Other/Misc,0xc2996818C1aF209A97AC295787Bd6332d5f6dC5e,0.7818181818181819,221.62276375944057,158460.276088,715,1.7023809523809523,-17401.022211,0.3600605626905663,-24.3370940013986,0.695364238410596,442.0197893774835,133489.976392,302,0.719047619047619,-9852.592835,0.7078804075717678,-32.62447958609271
Other/Misc,0x2f30b72BEFE57e812692087a130F0b410216B487,0.5838150289017341,103.689208716763,35876.466216,346,0.7899543378995434,1819.0662079999997,0.6477254633074866,5.257416786127167,0.6878306878306878,66.2593128994709,12523.010138,189,0.4315068493150685,341.67526899999984,0.7044921151489799,1.8078056560846552
Sports,0xB4AFf110f5a654F02D5E3eE48C7AfDa338D2217D,0.5229885057471264,21.132867637931035,3677.118969,174,0.4887640449438202,319.30885599999993,0.5189084539673343,1.8351083678160915,0.524390243902439,24.139190524390244,1979.413623,82,0.2303370786516854,264.350815,0.5554131921541232,3.2237904268292685
Other/Misc,0x7253C03B80Da18072dEABf0E3d6Fa5DFaDB3505A,0.34888059701492535,36.12833868470149,19364.789535,536,5.6421052631578945,-2051.696156,0.31269906659274177,-3.8277913358208955,0.2927400468384075,24.944873604215456,10651.461029,427,4.494736842105263,-2880.865542,0.2806941532264215,-6.746757709601874
Politics,0xb4F9403809D9A7ca020537544ce2186699eB5dc5,0.565636087176888,144.16394097871262,284435.455551,1973,20.98936170212766,208.758834,0.9620420673444714,0.1058078226051698,0.9955317247542449,129.06461609204646,144423.305407,1119,11.904255319148936,5224.162639,0.9608364647133686,4.668599319928508
Politics,0x0F40688ec3c8DE32A3968CdF317aAE3e8118888d,0.8805970149253731,94.42842512686566,12653.408967,134,0.4024024024024024,-9.72008799999972,0.6539973677501918,-0.07253797014925165,0.9090909090909091,80.2022067840909,7057.794197,88,0.26426426426426425,1.7351420000000466,0.9024391734176703,0.019717522727273257
Sports,0x591aE7b0dBe0895cc40513A1915067dD3af33f78,0.5333333333333333,7.88884578,1183.326867,150,0.8620689655172413,56.59880800000001,0.4954,0.37732538666666676,0.5277777777777778,7.312013375,526.464963,72,0.4186046511627907,24.736904000000003,0.5068055552432646,0.34356811111111113
Sports,0x46Efd3e48CB082983dD167DAED300ACDD4354e21,0.4897959183673469,16.51522448979592,809.246,49,0.6901408450704225,31.960000000000004,0.6139183673469388,0.6522448979591837,0.6086956521739131,18.245347826086956,419.643,23,0.323943661971831,-15.642999999999994,0.6081304347826088,-0.6801304347826084
Politics,0xa9A3ec11f8205eB99A542F1e01fEc335Bb0d022c,0.576271186440678,120.8117909322034,14255.79133,118,0.3480825958702065,-63.5032039999999,0.5548892867690092,-0.538162745762711,0.5892857142857143,114.85767294642858,6432.029685,56,0.16519174041297935,-442.59056599999997,0.606583904135028,-7.903402964285713
Sports,0x7f363E72A9c3338c6f968b3015657DaB146Dc24e,0.5196850393700787,24.268407007874014,3082.08769,127,15.875,7.426310000000006,0.3666535433070866,0.05847488188976383,0.38095238095238093,24.68778873015873,1555.33069,63,21.0,-13.330689999999992,0.3852063492063492,-0.21159825396825382
Politics,0x4c9CE7f9F4281d8F8FdD63B85A2Ff186fc4Ba538,0.5352112676056338,14.199214788732393,2016.2884999999999,142,6.454545454545454,2.9155,0.4962323943661972,0.020531690140845073,0.53125,14.8271328125,948.9365,64,2.909090909090909,-8.436499999999997,0.5333125,-0.13182031249999995
Economics,0x863869491E86F51B125EE0826Fcadc2DDBe4c8E9,0.4266666666666667,42.186481173333334,6327.972176,150,3.260869565217391,-518.719194,0.46184385734630695,-3.45812796,0.3142857142857143,24.396142414285713,1707.729969,70,1.5217391304347827,-639.2366049999999,0.36166252118520653,-9.1319515
Sports,0x4e358Ab9111Bf313785F8D7729c4bb21eF43BE9e,0.5,29.097245401041665,5586.671117,192,0.7084870848708487,-0.9114179999999975,0.5154687497312224,-0.004746968749999987,0.5154639175257731,29.695142845360824,2880.428856,97,0.35793357933579334,0.08632099999998805,0.5156907211108592,0.0008899072164947221
Politics,0xfAA781816fE3cc410DAFC8067746A5f30dC3c253,0.8852459016393442,90.6450305819672,11058.693731,122,0.3193717277486911,-11.984151000000091,0.6286708993667705,-0.09823074590164009,0.92,78.87640390666667,5915.7302930000005,75,0.19633507853403143,-4.019189,0.9255446628186781,-0.05358918666666666
Sports,0x563a0992361919cf0934D990bA5142Ec3b6eADc3,0.46464646464646464,47.179673398989905,9341.575333,198,0.5892857142857143,26.392045000000007,0.6924343260579241,0.1332931565656566,0.5932203389830508,37.9157318220339,4474.056355,118,0.3575757575757576,-535.487925,0.6616694938985929,-4.538033262711864
Sports,0x91f295a067f0342ca17c74D5895D2c74DaF83971,0.5254237288135594,9.279290618644067,1094.956293,118,0.36645962732919257,-11.891741999999935,0.4653559327438475,-0.10077747457627063,0.48333333333333334,9.297293733333333,557.837624,60,0.18633540372670807,-89.40475699999998,0.48666456850922063,-1.490079283333333
Sports,0xD0A591Ab28c308c6c550E8CF3726a17bD994820A,0.5314685314685315,6.572528671328671,939.8716,143,1.6823529411764706,50.017,0.5456993006993007,0.3497692307692308,0.5915492957746479,6.736511267605634,478.2923,71,0.8352941176470589,34.43770000000001,0.5429577464788732,0.4850380281690142
Sports,0x058F490AC97b37995A13Ac433E2046Cb52c6643e,0.546448087431694,4.080063715846994,746.65166,183,0.7120622568093385,62.30758000000001,0.033805522779034425,0.3404785792349727,0.0,1.8102184615384613,141.19704,78,0.3035019455252918,-141.19704,0.007011538461538462,-1.8102184615384613
Sports,0xcc5ff06FC6B9D634BE1eAfbF729191DeBf839766,0.49693251533742333,16.361668754601226,2666.952007,163,0.7581395348837209,-269.632348,0.407595086581571,-1.6541861840490797,0.49411764705882355,16.58053988235294,1409.34589,85,0.3953488372093023,433.761535,0.4157646953504224,5.103076882352941
Crypto,0x4daa5c5E67117d729F5b088A53689a597CfB6920,0.3583778685947815,32.75147951776171,104182.456346,3181,83.71052631578948,-687.1671990000002,0.45069870507112103,-0.21602238258409312,0.38174637999122424,26.518782254497587,60436.304758,2279,59.973684210526315,-579.7573010000002,0.3689973555343212,-0.2543910930232559
Other/Misc,0x4C3B4532520C69f2A1c24ff631Bc9C4E264Fdc63,0.36129032258064514,26.207181238709676,4062.113092,155,0.640495867768595,-732.7439840000001,0.48377533057628813,-4.727380541935484,0.3855421686746988,21.596124843373495,1792.478362,83,0.34297520661157027,-185.816799,0.39980970749244965,-2.2387566144578313
Politics,0x9355f4dEAbeeA63AFf97a31859c721AA3128B567,0.4854368932038835,218.46029120388351,22501.409994,103,0.5722222222222222,-29.034917999997894,0.5011446854816058,-0.28189240776696983,0.673469387755102,229.11803175510204,11226.783556,49,0.2722222222222222,11089.27808,0.5039387634205353,226.31179755102042
Politics,0x6324056f06f14DDC885294d903ed5eB66a600166,0.015748031496062992,168.96787572440945,21458.920217,127,5.521739130434782,-6696.369432,0.40722431512191337,-52.72731836220473,0.02631578947368421,72.95096796052631,5544.2735649999995,76,3.3043478260869565,-4710.940235,0.14012145383681696,-61.98605572368421
Politics,0xEFCD73422d4b9590eDfd862277b38AAe67e4905B,0.45,103.2159987909091,22707.519734,220,0.5263157894736842,-196.4209659999999,0.5218318118232,-0.8928225727272723,0.5714285714285714,120.42249507692307,10958.447052,91,0.21770334928229665,2720.27673,0.5274492641317712,29.89315087912088
Sports,0x43AA1Fa1a8F715d9EDb9b1e4c4c2E0DDD43B36D2,0.578125,35.2696933828125,4514.520753,128,0.3575418994413408,-6.2876419999999635,0.5231562495479009,-0.049122203124999715,0.6031746031746031,35.19268644444445,2217.139246,63,0.17597765363128492,-2.8235490000000145,0.6166349189541281,-0.04481823809523833
Other/Misc,0x1D2e23EB7B3C80a82dD582289e4136A0Bbf6ec4b,0.42718446601941745,8.948607747572815,921.706598,103,3.814814814814815,-25.616989999999983,0.3762978467647081,-0.24870864077669888,0.2978723404255319,9.161975340425531,430.612841,47,1.7407407407407407,-51.749696,0.31172151680582155,-1.1010573617021278
Other/Misc,0xe80E62B939F5921cB46ece054a54683d411c5314,0.5124378109452736,44.82577104477612,9009.97998,201,0.9663461538461539,169.78254,0.4671396597014925,0.8446892537313433,0.5037593984962406,44.953185864661656,5978.77372,133,0.6394230769230769,337.76628,0.47800053834586465,2.539596090225564
Crypto,0xa0F2Db27A71CA9496b22C69D722301db120a2b7D,0.6776859504132231,51.48147603305785,6229.2586,121,1.5512820512820513,21.877799999999908,0.6552236859504132,0.18080826446280915,0.8153846153846154,65.46039076923077,4254.9254,65,0.8333333333333334,37.544599999999924,0.8075588307692307,0.5776092307692297
Crypto,0x7762f43F8941a90A613bD331dD21242eDD913A34,0.5112107623318386,3.7365542376681615,2499.754785,669,334.5,-50.56790799999999,0.4583981123220079,-0.07558730642750372,0.4472361809045226,4.01246316080402,798.480169,199,99.5,11.154618000000008,0.443006630152291,0.056053356783919636
Sports,0x8384925b67e3D60C1e6F2762B25b9ef10b643dFe,0.5,31.573661212500003,10103.571588,320,0.8443271767810027,-11.022850000000018,0.5,-0.034446406250000054,0.5,31.608331331250003,5057.333013,160,0.42216358839050133,-5.5114249999999965,0.5005499999929265,-0.03444640624999998
Other/Misc,0xfC6c4520e5Af69b68eeeF1cbcaF6E02118Dd81c8,0.5192307692307693,82.91106441025642,12934.126048,156,52.0,14.002487999999824,0.44202972618016234,0.08975953846153734,0.3541666666666667,83.49969933333334,4007.985568,48,16.0,-577.4767400000001,0.4068716551372975,-12.030765416666668
