trader,win_rate,avg_trade_size,total_trade_volume,total_trade_number,frequency,net_gains_loss,avg_odds,profit_per_trade,win_rate_ignore_sales,avg_trade_size_ignore_sales,total_trade_volume_ignore_sales,total_trade_number_ignore_sales,frequency_ignore_sales,net_gains_loss_ignore_sales,avg_odds_ignore_sales,profit_per_trade_ignore_sales,category_Crypto,category_Economics,category_Other/Misc,category_Politics,category_Pop Culture,category_Sports,kmeans_cluster,hdbscan_cluster,tsne_1,tsne_2
0xcC500CbCC8B7cF5BD21975ebbEa34F21b5644C82,0.5723025314616508,149.74858534728514,58746819.277496,392303,617.8,2202398.532147,0.5024830295918021,5.614024190860127,0.5583555523278936,150.21101973268387,43436069.943041,289167,455.38110236220473,1822887.481127,0.5361336701976573,6.30392638553846,False,False,True,False,False,False,2,-1,19.117334,67.41177
0x4B1a5B4CA150a90b4D557084D9434ECc596d3017,0.6200933587948229,6.340309219180988,59763.7547,9426,60.038216560509554,356.17929800000013,0.4869477733217628,0.0377868977296838,0.6011892556899734,9.145579233750256,44602.989923,4877,31.063694267515924,-146.8121769999999,0.6000424806809741,-0.0301029684232109,True,False,False,False,False,False,2,-1,15.472399,62.23406
0x2C1a7a67e6F71BD61a616841F54aE0dF8e8D42d8,0.386500642355964,21.708198892018316,658995.793765,30357,141.8551401869159,4002.6593750000006,0.3267969900832239,0.1318529293079026,0.2442609746274667,18.620428306735803,369876.187885,19864,92.82242990654206,-19592.484358,0.2761263168150183,-0.9863312705396698,False,False,True,False,False,False,2,-1,18.209875,60.422855
0x139B756a7Debb5a436642B4943f58D064163A1A5,0.4651518719095832,2.096392784671533,17806.760313,8494,124.91176470588236,308.5753409999999,0.2285041387983265,0.0363286250294325,0.2310438983406847,1.8748429080025204,8926.127085,4761,70.01470588235294,211.748653,0.2296103799027779,0.0444756675068262,True,False,False,False,False,False,2,-1,11.207393,63.410797
0x18d7b544543afCe04C17EE133bFcae703872e02B,0.2275449101796407,50.6131504730539,8452.396129,167,2.5303030303030303,-112.39260700000004,0.6448842111406546,-0.6730096227544914,0.3793103448275862,21.42215787356322,1863.727735,87,1.318181818181818,-107.494061,0.3790420185861513,-1.23556391954023,False,False,True,False,False,False,5,1,4.6718726,-0.62063444
0x47093B4ea23985FeDEbf5ac461e323b90f40f6C2,0.750276277491556,11.934925101452208,766783.132993,64247,676.2842105263157,5133.446475000001,0.6262967129705456,0.0799017304309929,0.725108901428125,13.702048702961015,745487.363782,54407,572.7052631578947,4615.186206,0.7185626605356997,0.0848270664804161,False,False,True,False,False,False,2,-1,19.99427,65.27138
0xd9Fb2ecC4926efe32a4B0232e9c15bdd4dDF74F3,0.4673202614379085,23.768552901960785,14546.354376,612,10.551724137931034,1255.490076,0.5629246109832473,2.05145437254902,0.5119617224880383,19.23705902870813,4020.545337,209,3.603448275862069,613.430747,0.4994464076237045,2.935075344497608,False,False,True,False,False,False,4,1,1.2906101,12.848369
0xCA15832b58674FC4e9D7E87bff859c4B94629b50,0.2101853465806751,8.306900895648132,285940.14263,34422,77.87782805429865,-14367.820718,0.5437999445816335,-0.4174022636104816,0.2131351538195644,3.2001057960594537,46289.53034,14465,32.7262443438914,-7465.295953,0.2407785018922688,-0.5160937402696163,False,False,True,False,False,False,2,-1,17.787127,60.307125
0x2aFd0dFAD042ef302Aad5d4480602d1a9250dEb4,0.4926152203570793,2.108317140577733,71088.237346,33718,406.2409638554217,1787.911433,0.0875180686815799,0.053025429533187,0.0652618425536748,2.7894995626490973,49111.9293,17606,214.70731707317077,-12312.741821,0.0963373871697638,-0.6993491889696694,False,False,True,False,False,False,2,-1,16.556904,60.258507
0xC6AdF660e35CA4103559Aa9B100217C305eD5f3C,0.5016219021668613,31.292323938393668,1205849.702966,38535,1070.4166666666667,-18314.017158,0.6036773315125229,-0.4752567057999221,0.6245880691371309,39.98916486724057,594598.892411,14869,413.02777777777777,-15251.384157,0.6511685589070974,-1.0257168711413007,True,False,False,False,False,False,2,-1,18.762552,64.91153
0xc50459Ea189E62507eC43055827d85AF07697a4C,0.4729909231791012,45.73062702313482,413130.484527,9034,22.69849246231156,6784.050773,0.4603695396968486,0.7509465101837502,0.4712906057945566,37.34855836172081,212700.03987,5695,14.309045226130651,35346.251897,0.4359858578222656,6.206541158384548,False,False,True,False,False,False,2,-1,21.978846,57.664745
0x95c8499569DAC8FaEA4F9A21C553184b4202f511,0.5091738931994523,82.13844624554999,899826.67862,10955,38.98576512455516,6929.849923999992,0.3326638703997633,0.6325741601095383,0.3096557182429759,83.4405349137317,421708.463454,5054,17.98576512455516,-34856.86197900001,0.3202788510135327,-6.896886026711518,False,False,False,True,False,False,2,-1,19.374638,57.742233
0x34aD179cfa8f15E383F9D2695Ca565155c1a06bB,0.8482758620689655,3.103978779310345,450.076923,145,12.083333333333334,-9.455655999999976,0.6960342633210126,-0.0652114206896549,0.913978494623656,1.1771332150537634,109.473389,93,7.75,-6.969189999999991,0.9303544954184868,-0.0749375268817203,False,False,True,False,False,False,1,-1,0.5944582,-64.89233
0x476c1E85d5798B6d6E28DEA0B34306017EadcE52,0.4557993730407523,14.686610078996866,23425.143076,1595,39.875,2599.055735,0.4130588257013673,1.629502028213166,0.4196185286103542,12.104404594913714,13326.949459,1101,27.525,1939.549615,0.3758000264221262,1.7616254450499544,False,False,True,False,False,False,2,-1,9.40773,52.251648
0x9B6DcEAd392A7095bCdD0Cc16081ebE6A1d5Af8F,0.4009779951100244,458.0606512640587,374693.612734,818,18.177777777777777,2101.7390019999984,0.7909538317933017,2.5693630831295824,0.883495145631068,1183.216370475728,243742.572318,206,4.5777777777777775,1296.4776749999976,0.8778704366182104,6.29358094660193,False,False,True,False,False,False,3,-1,47.413277,35.06451
0xa8ae485700Ea62a13CC588a86ca0b5FDf39cae4D,0.5413563308506468,0.975246495491964,2487.85381,2551,46.38181818181818,-36.111477,0.6979647756984119,-0.0141558122304978,0.8367983367983368,1.2273238783783784,1180.685571,962,17.490909090909092,7.283404999999994,0.828964793096325,0.007571107068607,True,False,False,False,False,False,4,-1,24.952045,25.84376
0x4daa5c5E67117d729F5b088A53689a597CfB6920,0.3583778685947815,32.75147951776171,104182.456346,3181,83.71052631578948,-687.1671990000002,0.450698705071121,-0.2160223825840931,0.3817463799912242,26.518782254497587,60436.304758,2279,59.97368421052632,-579.7573010000002,0.3689973555343212,-0.2543910930232559,False,False,True,False,False,False,2,-1,10.358197,53.20229
0x71aFAf5a5992739e51FA11caAdD52109091aC057,0.6647594581971041,38.44681012844465,329258.48194,8564,51.59036144578313,-1510.1366269999996,0.6420063622946364,-0.17633543052312,0.798194130925508,37.17180159300226,164671.081057,4430,26.686746987951807,-1522.0286429999987,0.7990249562631629,-0.3435730571106092,False,False,False,True,False,False,2,-1,25.39273,63.36327
0x2c4Aa9e8f13672f8AcaCBfb47B005B485c7b8E5d,0.5036527199178893,33.714223838133194,558408.689431,16563,41.82575757575758,13135.197217,0.4947419496775558,0.793044570246936,0.5068580036470308,25.08971780686593,316456.610698,12613,31.8510101010101,13976.683656,0.4871220584246065,1.1081173119797034,False,False,True,False,False,False,2,-1,21.946047,58.054306
0x25DcF4635fE93082E0849FbbF81c95680cf5E33B,0.5507770632368703,119.86187996342444,894649.072047,7464,49.43046357615894,104966.251299,0.5009892006379797,14.063002585610931,0.5664417035140796,104.34765645427042,448381.879784,4297,28.456953642384107,69574.083519,0.5221955181646227,16.191315689783572,False,False,True,False,False,False,2,-1,22.95821,57.381954
0xbde33AC3839672f1BD3FEcFC0271AD95f07C4a49,0.4164805954279638,692.884737153429,6516580.952928,9405,16.049488054607508,200276.962286,0.4690387410511631,21.294732832110583,0.4057487488771975,558.8648064977544,4355233.437037,7793,13.29863481228669,25948.207515000027,0.4526597898633497,3.3296814468112443,False,False,True,False,False,False,2,-1,24.850693,55.817657
0x68e47e70FE76355ED01d8721c488E862612600Bd,0.4146341463414634,110.03817912466124,40604.088097,369,30.75,131.7078049999998,0.5188175156067053,0.3569317208672081,0.3660130718954248,110.3292740261438,16880.378926,153,12.75,-1246.8319,0.4665199207220867,-8.149228104575164,False,False,True,False,False,False,5,1,13.470213,41.585114
0xcE161dEa801b42651c6F286A2331DfE42642749F,0.5720702327480605,15.56235723029808,38112.212857,2449,244.9,3413.925476,0.5392973259516374,1.394007952633728,0.6279661016949153,10.673750802542372,12595.025947,1180,118.0,1760.588045,0.5537075253673734,1.4920237669491525,False,False,True,False,False,False,2,-1,9.25822,59.779633
0x684d4A39FA7C3D1C70125f5762d8e185b31204cF,0.5379939209726444,43.69902650455927,14376.97972,329,1.4557522123893805,-15.713000000000008,0.4049665653495441,-0.0477598784194529,0.440251572327044,47.980543144654085,7628.90636,159,0.7035398230088495,-38.90636000000006,0.4411320754716981,-0.2446940880503148,False,False,True,False,False,False,5,1,4.603569,-2.5826423
0x83Bc292E2d67333a81473E9819089810e2b278fb,0.5345149253731343,16.322785926305972,17498.026513,1072,26.8,232.955304,0.7220568974580555,0.2173090522388059,0.7320261437908496,15.551480174836602,9517.505867,612,15.3,263.133897,0.7115604698213216,0.4299573480392156,False,False,True,False,False,False,2,1,23.016916,26.989454
0x471B80D0B47525034111Ef419156C25157488A6e,0.5134099616858238,20.42981903448276,10664.365536,522,9.321428571428571,8.950359999999973,0.4790035970191852,0.0171462835249041,0.4915966386554621,21.98899584033613,5233.38101,238,4.407407407407407,77.18898999999999,0.4856107843137255,0.3243234873949579,False,False,True,False,False,False,4,1,1.2740921,12.833153
0x21557c53509DaaD09ccfdBcE96852997c179e073,0.4794520547945205,7.424165221135029,3793.748428,511,3.4066666666666667,64.47561200000005,0.4913269396583509,0.1261753659491195,0.5049180327868853,6.1664434786885245,1880.765261,305,2.046979865771812,-102.21942199999997,0.4341588039605695,-0.3351456459016392,False,False,True,False,False,False,1,1,-11.487209,-2.7343626
0x9A6534bDaC552E7B9c8cca5f3B6A2060ff0a8d8f,0.457516339869281,167.1746606993464,25577.723087,153,5.884615384615385,-1024.339001,0.3522906290180632,-6.695026150326798,0.21875,120.00534072916668,11520.51271,96,3.692307692307693,-2205.709378,0.3771145869270869,-22.976139354166666,False,False,False,False,False,True,5,-1,13.5084505,21.03475
0xA242f3128342f9254ee9deD12820327791e0CD4B,0.7217970049916805,6.87229127920133,20651.235294,3005,11.17100371747212,-56.365787000000005,0.6642594658593627,-0.0187573334442595,0.8460627590290113,8.605884928359977,14535.339644,1689,6.278810408921933,-14.266299000000012,0.8428849178422445,-0.0084465950266429,True,False,False,False,False,False,2,-1,24.229912,61.422577
