trader,win_rate,avg_trade_size,total_trade_volume,total_trade_number,frequency,net_gains_loss,avg_odds,tsne_1,tsne_2,kmeans_cluster,hdbscan_cluster
0x18d7b544543afCe04C17EE133bFcae703872e02B,0.7724550898203593,50.6131504730539,8452.396129,167,2.5303030303030303,193.84550169234868,0.6448842111406546,11.44755,-19.779995,18,-1
0xd9Fb2ecC4926efe32a4B0232e9c15bdd4dDF74F3,0.5326797385620915,23.768552901960785,14546.354376,612,10.551724137931034,-870.3655449313214,0.5629246109832473,11.876314,9.658135,17,10
0xCA15832b58674FC4e9D7E87bff859c4B94629b50,0.7898146534193249,8.306900895648132,285940.14263,34422,77.87782805429865,21836.206702466658,0.5437999445816335,16.171513,-11.487767,4,-1
0xC6AdF660e35CA4103559Aa9B100217C305eD5f3C,0.4983780978331387,31.292323938393668,1205849.702966,38535,1070.4166666666667,9253.80835156159,0.6036773315125229,16.196665,-11.418549,4,-1
0x34aD179cfa8f15E383F9D2695Ca565155c1a06bB,0.1517241379310344,3.103978779310345,450.076923,145,12.083333333333334,9.732774359270152,0.6960342633210126,-12.631679,25.237106,7,1
0x476c1E85d5798B6d6E28DEA0B34306017EadcE52,0.5442006269592476,14.686610078996866,23425.143076,1595,39.875,439.51533019002073,0.4130588257013673,-2.7953935,-19.644848,0,-1
0xa8ae485700Ea62a13CC588a86ca0b5FDf39cae4D,0.4586436691493532,0.975246495491964,2487.85381,2551,46.38181818181818,-36.64062142435049,0.6979647756984119,8.185715,20.094122,17,-1
0x25DcF4635fE93082E0849FbbF81c95680cf5E33B,0.4492229367631297,119.86187996342444,894649.072047,7464,49.43046357615894,-58947.9111062841,0.5009892006379797,-10.750746,-9.1151285,16,-1
0x68e47e70FE76355ED01d8721c488E862612600Bd,0.5853658536585366,110.03817912466124,40604.088097,369,30.75,61.61647950249107,0.5188175156067053,1.7548358,-13.394807,18,-1
0xcE161dEa801b42651c6F286A2331DfE42642749F,0.4279297672519395,15.56235723029808,38112.212857,2449,244.9,-2136.211235816429,0.5392973259516374,14.914165,-3.2917624,6,-1
0x684d4A39FA7C3D1C70125f5762d8e185b31204cF,0.4620060790273556,43.69902650455927,14376.97972,329,1.4557522123893805,15.720053080000046,0.4049665653495441,-7.211421,-22.180151,0,-1
0x21557c53509DaaD09ccfdBcE96852997c179e073,0.5205479452054794,7.424165221135029,3793.748428,511,3.4066666666666667,169.69792352580686,0.4913269396583509,5.335429,-4.7153783,6,10
0x9A6534bDaC552E7B9c8cca5f3B6A2060ff0a8d8f,0.5424836601307189,167.1746606993464,25577.723087,153,5.884615384615385,815.2180664800003,0.3522906290180632,-0.6874128,-23.444586,0,-1
0xA28DB13092562b77c26B7a4848248Fe0a4D05DAF,0.0674157303370786,1.6499886460674156,293.697979,178,0.37160751565762,3.231509340526998,0.5774530691348176,-15.136396,24.602564,7,2
0x0e84796655086fdAf6D5621d9D7BF37ccf5BD31c,0.6891495601173021,999.550420914956,340846.693532,341,6.959183673469388,2592.842915390998,0.5002327493408264,-15.816282,-9.621795,10,-1
0xc4592f60ca12322212e59963d98a0FDEe8317b3f,0.4817518248175182,534.5079490474452,146455.178039,274,6.85,-22601.957527212904,0.5602922633676228,-13.312002,-7.6448116,1,-1
0x617eb137C5f1A445d9a15ef1aC7A75D61BA28Cb2,0.5495049504950495,10.909282425742571,2203.67505,202,11.882352941176473,-153.21111390059966,0.5461525198095794,11.910399,6.9035554,6,10
0x5dd2ADa52e799Bb9e7c5dfeb5cEAF77886A00148,0.0887573964497041,13.624689207100593,2302.5724760000003,169,0.3542976939203354,0.8185180024282156,0.6676211377772026,-13.879612,25.49513,7,1
0x70E54a17B5f42145eE44a1cd3281E8784d90B0d3,0.6622807017543859,21.39936134649123,4879.054387,228,76.0,189.30330228169072,0.1888486010931266,1.9382766,-27.51896,11,-1
0x397F1eF6b28194fE1EbdC58ee055D97f68b0d7B5,0.6057692307692307,14.43814848076923,3003.134884,208,29.714285714285715,26.519274514123698,0.4830218967134586,6.8653073,-14.62269,18,8
0xae2a99372aEee85b18c178e254C5eaBD29ae8D47,0.6124031007751938,980.8546660232558,126530.251917,129,11.727272727272728,15073.24035209064,0.4871120287660428,-16.065569,-9.722357,10,-1
0x9EF582748baF671EE716075658b870AE747c5D4F,0.454179929636455,786.5471929628079,4694900.194795,5969,40.33108108108108,-17490.24853886464,0.4593783984467717,-12.639271,-10.185686,3,-1
0xf5ccB0827bc55ae619c26FF25E704D0cC6640540,0.5819809736989368,114.66083547733632,409797.825996,3574,6.462929475587703,2492.180276132938,0.491026533755494,-6.3835154,-12.491103,18,-1
0x9056F14E68222f0c3ADF9E1E7bB6273194A70EE9,0.0144927536231884,18.50944579710145,2554.30352,138,3.2093023255813957,98.50546976829278,0.5426632768729416,-16.080132,24.951242,7,2
0xC15ee2976ff748e32f0411Bed82bC69AC995a064,0.5723684210526315,73.377347,11153.356744,152,6.08,-90.6178478187585,0.690123246035188,13.258157,16.82848,17,-1
0x297E42aA0d61E8962977B693486331d4bc1F59B5,0.6754658385093167,10.628321096273291,6844.638786,644,6.851063829787234,354.5168957237564,0.5010133032587979,8.311663,-18.52384,18,8
0x6FF353E318fbD37CB644A9613a8DC67B4e1E1eb8,0.4285714285714285,31.88691626890756,3794.543036,119,0.2952853598014888,16.48185822352585,0.3120587925929095,-5.8223505,-26.338264,0,-1
0x850fcA61a92FCa111615159e187F1A48C896Aad6,0.5202702702702703,233.52015435135132,34560.982844,148,0.3498817966903073,34.93287151603232,0.6060809965834097,-11.679843,-4.403437,1,-1
0xAEc11b8c4AB71b77a7637610717A6551783dcE11,0.7219251336898396,35.496405390374335,6637.827808,187,3.74,128.35604397268634,0.6562837689018761,11.623235,-19.462452,18,-1
0x59D6c081a3f9F35b7563a9EBfFFB3119dc590704,0.8098471986417657,19.768773074702885,11643.807341,589,2.5608695652173914,3203.554290926047,0.2553136474050991,5.2110724,-26.369864,12,-1
